ID,title,abstract,content,content_html,created_at,tag,updated_at
11,黄牙美白要多少钱？,医生您好！我的牙齿有些发黄，不是很严重，主要是觉得很难看，但我是个学生，经济能力一般，我想问问：牙齿美白要多少钱？专家回复：黄牙美白要多少钱？牙齿美白的方法包括：药物美白，遮盖美白，洗牙则是还原牙齿的本色。冷光美白是一项常用的牙齿美白技术，不仅可以有效去除牙齿表面,<p> 　　医生您好！我的牙齿有些发黄，不是很严重，主要是觉得很难看，但我是个学生，经济能力一般，我想问问：牙齿美白要多少钱？<br /><br /> 　　专家回复：黄牙美白要多少钱？<br /><br /> 　　牙齿美白的方法包括：药物美白，遮盖美白，洗牙则是还原牙齿的本色。冷光美白是一项常用的牙齿美白技术，不仅可以有效去除牙齿表面的色素沉积，还可以牙齿深层达到脱色的效果。经专业的牙医师进行操作后，它的美白效果是比传统方法更显着，操作过程只需30分钟，就能起到美白效果。冷光美白的价格是在1600元左右。</p>,<p> 　　医生您好！我的牙齿有些发黄，不是很严重，主要是觉得很难看，但我是个学生，经济能力一般，我想问问：牙齿美白要多少钱？<br /><br /> 　　专家回复：黄牙美白要多少钱？<br /><br /> 　　牙齿美白的方法包括：药物美白，遮盖美白，洗牙则是还原牙齿的本色。冷光美白是一项常用的牙齿美白技术，不仅可以有效去除牙齿表面的色素沉积，还可以牙齿深层达到脱色的效果。经专业的牙医师进行操作后，它的美白效果是比传统方法更显着，操作过程只需30分钟，就能起到美白效果。冷光美白的价格是在1600元左右。</p>,,,2017/5/28 10:39
12,黄牙变白的方法有哪些,"牙齿黄黄的，别人看起来会觉得不雅观，也过不了自己的那一关。黄牙变白一直是一件十分重要的事情，那么黄牙要变白都有什么方法?下面就由专家来为我们介绍。黄牙变白的方法一般有哪些雷射牙齿美白是利用较高浓度的漂白剂(H2O2 过化氢),搭配适当的雷射剂量,催化特殊触","<p> 　　牙齿黄黄的，别人看起来会觉得不雅观，也过不了自己的那一关。黄牙变白一直是一件十分重要的事情，那么黄牙要变白都有什么方法?下面就由专家来为我们介绍。<br /><br /><br /> 　　黄牙变白的方法一般有哪些<br /><br /> 　　雷射牙齿美白<br /><br /> 　　是利用较高浓度的漂白剂(H2O2 过化氢),搭配适当的雷射剂量,催化特殊触媒,强化过氧化氢的漂白作用,将齿内有机色素,由碳环结构,漂白至亲水性无色素结构,而达到黄牙美白的疗效。<br /><br /> 　　牙齿喷砂<br /><br /> 　　由空气、水、颗粒所组成的牙科喷砂处理机可以将牙齿表面上所有的染色清除干净。包括牙齿表面上的凹洞处、沟槽处和邻接面处，主要是通过去除附加在牙齿表面上的牙结石、牙菌斑和染色，而恢复牙齿原来的颜色，从而达到牙齿清洁美白的效果。<br /><br /> 　　Zoom2&reg;牙齿美白技术<br /><br /> 　　Zoom2&reg;是美国及欧洲等发达地区最专业最流行的牙齿美白技术，它通过专业的纳米蓝光机与活性美白凝胶(含有口腔医学美白所需的活性氧化剂、催化激活剂、硝酸钾、健齿氟化物、无定形磷酸钙(ACP)等)的相互促进作用而消除牙齿(牙釉质、牙本质)上的色素沉积，可提高6~17个VITA色效果，使牙齿恢复正常的洁白色阶。美国Zoom!&reg;在国际上首创个人精准美白套装，一套牙齿美白材料(含一回3次美白凝胶和3块纳米蓝光机开机芯片)，仅限顾客本人当次连续使用完毕(一次治疗分3个15分钟治疗完毕)，别人无法使用，即保障美白效果，又保障顾客的消费权益。</p>","<p> 　　牙齿黄黄的，别人看起来会觉得不雅观，也过不了自己的那一关。黄牙变白一直是一件十分重要的事情，那么黄牙要变白都有什么方法?下面就由专家来为我们介绍。<br /><br /><br /> 　　黄牙变白的方法一般有哪些<br /><br /> 　　雷射牙齿美白<br /><br /> 　　是利用较高浓度的漂白剂(H2O2 过化氢),搭配适当的雷射剂量,催化特殊触媒,强化过氧化氢的漂白作用,将齿内有机色素,由碳环结构,漂白至亲水性无色素结构,而达到黄牙美白的疗效。<br /><br /> 　　牙齿喷砂<br /><br /> 　　由空气、水、颗粒所组成的牙科喷砂处理机可以将牙齿表面上所有的染色清除干净。包括牙齿表面上的凹洞处、沟槽处和邻接面处，主要是通过去除附加在牙齿表面上的牙结石、牙菌斑和染色，而恢复牙齿原来的颜色，从而达到牙齿清洁美白的效果。<br /><br /> 　　Zoom2&reg;牙齿美白技术<br /><br /> 　　Zoom2&reg;是美国及欧洲等发达地区最专业最流行的牙齿美白技术，它通过专业的纳米蓝光机与活性美白凝胶(含有口腔医学美白所需的活性氧化剂、催化激活剂、硝酸钾、健齿氟化物、无定形磷酸钙(ACP)等)的相互促进作用而消除牙齿(牙釉质、牙本质)上的色素沉积，可提高6~17个VITA色效果，使牙齿恢复正常的洁白色阶。美国Zoom!&reg;在国际上首创个人精准美白套装，一套牙齿美白材料(含一回3次美白凝胶和3块纳米蓝光机开机芯片)，仅限顾客本人当次连续使用完毕(一次治疗分3个15分钟治疗完毕)，别人无法使用，即保障美白效果，又保障顾客的消费权益。</p>",,,2017/5/29 10:39
13,洗黄牙多少钱,洗黄牙多少钱　　了解洗黄牙多少钱，我们要先清楚黄牙形成的原因和具体情况，如果是烟渍，茶渍造成的外源性因素的着色牙，可以选择超声波洁治加喷砂的方法，将沉积于牙根部的牙结石、菌斑清除干净，维护口腔卫生，注意平时少吃深色类的食物。如果是口腔卫生状况差造成的黄牙，就要做好口腔卫生的维护，养成良好的刷牙习惯，,<p>洗黄牙多少钱</p><p>　　了解洗黄牙多少钱，我们要先清楚黄牙形成的原因和具体情况，如果是烟渍，茶渍造成的外源性因素的着色牙，可以选择超声波洁治加喷砂的方法，将沉积于牙根部的牙结石、菌斑清除干净，维护口腔卫生，注意平时少吃深色类的食物。如果是口腔卫生状况差造成的黄牙，就要做好口腔卫生的维护，养成良好的刷牙习惯，保持口腔卫生的清洁。</p><p>　　如果是色素沉着引起的黄牙，像氟斑牙，四环素牙，这些在牙齿发育期间色素沉积于牙体组织内，就不能用简单的洗牙方法了，洗牙无法消除牙齿内部的色素，就需要牙齿美白。美白的方法比较多：药物美白，冷光美白，瓷贴片等，美白的方法不同，价格也不同，具体还要根据患者黄色的程度。</p><p>　　冷光美白是常用的牙齿美白的方法，冷光美白是将高强度的蓝光，经光纤传导，做低温处理，不会伤害口腔组织，冷光美白的操作时间仅需30分钟，不仅可以去除牙齿表面的色素沉积，还可以深入牙齿的深层达到脱色的效果，快速透过牙小管作用于牙齿深层，与造成黄牙的氟离子、铁离子产生氧化还原的作用，使黄牙逐渐变白，这是一种安全有效的脱色美白方法。</p>,<p>洗黄牙多少钱</p><p>　　了解洗黄牙多少钱，我们要先清楚黄牙形成的原因和具体情况，如果是烟渍，茶渍造成的外源性因素的着色牙，可以选择超声波洁治加喷砂的方法，将沉积于牙根部的牙结石、菌斑清除干净，维护口腔卫生，注意平时少吃深色类的食物。如果是口腔卫生状况差造成的黄牙，就要做好口腔卫生的维护，养成良好的刷牙习惯，保持口腔卫生的清洁。</p><p>　　如果是色素沉着引起的黄牙，像氟斑牙，四环素牙，这些在牙齿发育期间色素沉积于牙体组织内，就不能用简单的洗牙方法了，洗牙无法消除牙齿内部的色素，就需要牙齿美白。美白的方法比较多：药物美白，冷光美白，瓷贴片等，美白的方法不同，价格也不同，具体还要根据患者黄色的程度。</p><p>　　冷光美白是常用的牙齿美白的方法，冷光美白是将高强度的蓝光，经光纤传导，做低温处理，不会伤害口腔组织，冷光美白的操作时间仅需30分钟，不仅可以去除牙齿表面的色素沉积，还可以深入牙齿的深层达到脱色的效果，快速透过牙小管作用于牙齿深层，与造成黄牙的氟离子、铁离子产生氧化还原的作用，使黄牙逐渐变白，这是一种安全有效的脱色美白方法。</p>,,,2017/5/30 10:39
14,内源性黄牙怎么治,内源性黄牙是由于牙齿在生长发育期造成的牙齿着色，色素不在牙齿表面而在牙齿组织内，主要包括四环素牙和氟斑牙。四环素牙是服用过多的四环素类药物在体内与钙质相结合，生成一种四环素钙的黄色复合物，沉积于牙冠上。氟斑牙则是七岁以前生活在高氟区摄入过多的氟造成的牙齿染色，色素在牙釉质内，呈,<p> 　　内源性黄牙是由于牙齿在生长发育期造成的牙齿着色，色素不在牙齿表面而在牙齿组织内，主要包括四环素牙和氟斑牙。四环素牙是服用过多的四环素类药物在体内与钙质相结合，生成一种四环素钙的黄色复合物，沉积于牙冠上。氟斑牙则是七岁以前生活在高氟区摄入过多的氟造成的牙齿染色，色素在牙釉质内，呈黄褐色斑块状，严重者牙齿表面还有不同程度的缺损，以上门牙最为明显，十分影响美观。内源性黄牙美白单靠刷牙是没有效果的，一定要采用专业的美白牙齿方法。<br /><br /> 　　冷光美白采用低温冷光配合亲水性药物牙面色素进行吸收瓦解，利用特殊的冷光作用在冷光美白剂上，达到美白效果，美白过程时间短，只需30分钟。而低温冷光也避免了治疗过程中对牙神经的刺激。美白后，牙齿不会出现严重的不适感。冷光美白操作比较简单。治疗后不需要恢复期与观察期。但要注意冷光美白后的24小时内，牙齿很容易再染色，需要注意避免饮用茶、咖啡、可乐、红酒、饮料及食用深色食物，同时要避免吸烟。</p>,<p> 　　内源性黄牙是由于牙齿在生长发育期造成的牙齿着色，色素不在牙齿表面而在牙齿组织内，主要包括四环素牙和氟斑牙。四环素牙是服用过多的四环素类药物在体内与钙质相结合，生成一种四环素钙的黄色复合物，沉积于牙冠上。氟斑牙则是七岁以前生活在高氟区摄入过多的氟造成的牙齿染色，色素在牙釉质内，呈黄褐色斑块状，严重者牙齿表面还有不同程度的缺损，以上门牙最为明显，十分影响美观。内源性黄牙美白单靠刷牙是没有效果的，一定要采用专业的美白牙齿方法。<br /><br /> 　　冷光美白采用低温冷光配合亲水性药物牙面色素进行吸收瓦解，利用特殊的冷光作用在冷光美白剂上，达到美白效果，美白过程时间短，只需30分钟。而低温冷光也避免了治疗过程中对牙神经的刺激。美白后，牙齿不会出现严重的不适感。冷光美白操作比较简单。治疗后不需要恢复期与观察期。但要注意冷光美白后的24小时内，牙齿很容易再染色，需要注意避免饮用茶、咖啡、可乐、红酒、饮料及食用深色食物，同时要避免吸烟。</p>,,,2017/5/31 10:39
15,3岁宝宝牙齿发黄的原因是什么？,医生你好，3岁宝宝牙齿发黄的原因是什么？宝宝今年3岁，牙齿发黄看上去特别的难看，这是怎么回事呢？宝宝这么小怎么发黄呢？那么究竟宝宝牙齿发黄的原因是什么呢？专家回复：3岁宝宝牙齿发黄的原因是什么？你好，下面让我们一起看看3岁宝宝牙齿发黄的原因是什么：,<p> 　　医生你好，3岁宝宝牙齿发黄的原因是什么？宝宝今年3岁，牙齿发黄看上去特别的难看，这是怎么回事呢？宝宝这么小怎么发黄呢？那么究竟宝宝牙齿发黄的原因是什么呢？<br /><br /> 　　专家回复：3岁宝宝牙齿发黄的原因是什么？<br /><br /> 　　你好，下面让我们一起看看3岁宝宝牙齿发黄的原因是什么：<br /><br /> 　　事实上3岁小孩牙齿发黄的原因主要有两大因素引起的：一是外源因素引起的，如不注意口腔卫生引起的色素沉积或牙结石附着导致的；二是内源性因素引起的，如在牙齿生长发育过程引起的氟斑牙、四环素牙等，都会引起牙齿发黄。<br /><br /> 　　总之，引起宝宝牙齿发黄的原因主要有以上三种情况，那么宝宝牙齿发黄怎么办？针对外源性因素引起的黄牙常采用洗牙的方法效果就不错；针对外源性因素引起的黄牙常采用牙贴面，冷光美白等方法。<br /><br /> 　　口腔医院提醒大家，为了宝宝的健康，要注意宝宝口腔卫生的维护，如帮宝宝刷牙，饭后漱口等，保持宝宝口腔卫生的清洁。</p>,<p> 　　医生你好，3岁宝宝牙齿发黄的原因是什么？宝宝今年3岁，牙齿发黄看上去特别的难看，这是怎么回事呢？宝宝这么小怎么发黄呢？那么究竟宝宝牙齿发黄的原因是什么呢？<br /><br /> 　　专家回复：3岁宝宝牙齿发黄的原因是什么？<br /><br /> 　　你好，下面让我们一起看看3岁宝宝牙齿发黄的原因是什么：<br /><br /> 　　事实上3岁小孩牙齿发黄的原因主要有两大因素引起的：一是外源因素引起的，如不注意口腔卫生引起的色素沉积或牙结石附着导致的；二是内源性因素引起的，如在牙齿生长发育过程引起的氟斑牙、四环素牙等，都会引起牙齿发黄。<br /><br /> 　　总之，引起宝宝牙齿发黄的原因主要有以上三种情况，那么宝宝牙齿发黄怎么办？针对外源性因素引起的黄牙常采用洗牙的方法效果就不错；针对外源性因素引起的黄牙常采用牙贴面，冷光美白等方法。<br /><br /> 　　口腔医院提醒大家，为了宝宝的健康，要注意宝宝口腔卫生的维护，如帮宝宝刷牙，饭后漱口等，保持宝宝口腔卫生的清洁。</p>,,,2017/6/1 10:39
16,遗传性黄牙怎么办,遗传性黄牙，由于有遗传性的因素在里面，所以一般非常不容易祛除，单单靠每日刷牙，洗牙是祛除不了的，但是又是非常的影响美观，那么对于遗传性的黄牙，该如何美白才是最好的呢？口腔专家表示，遗传性黄牙可以通过皓齿美白技术进行牙齿美白。皓齿美白技术通过氧化剂过氧化氢中的小分子，穿过牙,<p> 　　遗传性黄牙，由于有遗传性的因素在里面，所以一般非常不容易祛除，单单靠每日刷牙，洗牙是祛除不了的，但是又是非常的影响美观，那么对于遗传性的黄牙，该如何美白才是最好的呢？<br /><br /> 　　口腔专家表示，遗传性黄牙可以通过皓齿美白技术进行牙齿美白。皓齿美白技术通过氧化剂过氧化氢中的小分子，穿过牙釉质和牙本质渗透到牙齿的所有部分，在釉小柱间移动，分解清除牙齿变色的色素分子。不改变牙齿结构的情况下迅速产生美白作用，一小时就拥有洁白的牙齿。<br /><br /> 　　皓齿美白技术首创过氧化氢加硝酸钾和氟化物结合的美白方式，通过氧化剂美白牙齿，氟化剂保护牙齿。让牙釉质硬度增加，形成保护，使得原本不健康的牙齿经过美白后更加健康、自然、充满活力。皓齿美白技术中的硝酸钾，可防止神经细胞在治疗过程中的疼痛。对牙龈牙体均无伤害，缩短治疗时间，减少张口是长，舒适无痛。</p>,<p> 　　遗传性黄牙，由于有遗传性的因素在里面，所以一般非常不容易祛除，单单靠每日刷牙，洗牙是祛除不了的，但是又是非常的影响美观，那么对于遗传性的黄牙，该如何美白才是最好的呢？<br /><br /> 　　口腔专家表示，遗传性黄牙可以通过皓齿美白技术进行牙齿美白。皓齿美白技术通过氧化剂过氧化氢中的小分子，穿过牙釉质和牙本质渗透到牙齿的所有部分，在釉小柱间移动，分解清除牙齿变色的色素分子。不改变牙齿结构的情况下迅速产生美白作用，一小时就拥有洁白的牙齿。<br /><br /> 　　皓齿美白技术首创过氧化氢加硝酸钾和氟化物结合的美白方式，通过氧化剂美白牙齿，氟化剂保护牙齿。让牙釉质硬度增加，形成保护，使得原本不健康的牙齿经过美白后更加健康、自然、充满活力。皓齿美白技术中的硝酸钾，可防止神经细胞在治疗过程中的疼痛。对牙龈牙体均无伤害，缩短治疗时间，减少张口是长，舒适无痛。</p>,,,2017/6/2 10:39
17,如何去除黄牙,洁白整齐的牙齿是每个人的期望，可是不是每个人的牙齿都那么完美。日常生活中拥有黄牙的人有很多，严重的影响了他们的形象和自信。那么，有黄牙怎么办？对于中低度黄牙口腔医院采用美国第二代Beyond低温冷光美白技术，该技术不仅可以去除牙齿表面的色素沉积，同时可以进入牙齿深层达到美白脱,<p> 　　洁白整齐的牙齿是每个人的期望，可是不是每个人的牙齿都那么完美。日常生活中拥有黄牙的人有很多，严重的影响了他们的形象和自信。那么，有黄牙怎么办？<br /><br /> 　　对于中低度黄牙口腔医院采用美国第二代Beyond低温冷光美白技术，该技术不仅可以去除牙齿表面的色素沉积，同时可以进入牙齿深层达到美白脱色的效果。冷光美白的四大优势：<br /><br /> 　　1.快速美白：在牙齿表面上涂抹无害的美白材料之后，全口牙齿一次照射，大大缩短了美白时间。完成一次全口美白，短短45分钟时间，造就珍珠般靓齿。<br /><br /> 　　2.安全无痛：操作过程在牙齿表面涂抹特殊美白剂，美白过程不接触牙龈，对牙齿不会造成任何伤害。低温冷光不产生热效应，完全避免了操作过程中牙神经的不适感，不知不觉牙齿变白了。<br /><br /> 　　3.效果显着：美国Beyond冷光美白牙齿美白效果可提高8-14个色阶，不仅优于同类产品，更超过家用牙套美白效果35%以上，无副作用，美白效果显着持久。<br /><br /> 　　4.个性美白：美国Beyond蓝光美白独有的单颗牙齿美白功能，可针对问题牙齿进行单独美白，而不必影响其他牙齿色泽，极大的满足了个性化的需求。</p>,<p> 　　洁白整齐的牙齿是每个人的期望，可是不是每个人的牙齿都那么完美。日常生活中拥有黄牙的人有很多，严重的影响了他们的形象和自信。那么，有黄牙怎么办？<br /><br /> 　　对于中低度黄牙口腔医院采用美国第二代Beyond低温冷光美白技术，该技术不仅可以去除牙齿表面的色素沉积，同时可以进入牙齿深层达到美白脱色的效果。冷光美白的四大优势：<br /><br /> 　　1.快速美白：在牙齿表面上涂抹无害的美白材料之后，全口牙齿一次照射，大大缩短了美白时间。完成一次全口美白，短短45分钟时间，造就珍珠般靓齿。<br /><br /> 　　2.安全无痛：操作过程在牙齿表面涂抹特殊美白剂，美白过程不接触牙龈，对牙齿不会造成任何伤害。低温冷光不产生热效应，完全避免了操作过程中牙神经的不适感，不知不觉牙齿变白了。<br /><br /> 　　3.效果显着：美国Beyond冷光美白牙齿美白效果可提高8-14个色阶，不仅优于同类产品，更超过家用牙套美白效果35%以上，无副作用，美白效果显着持久。<br /><br /> 　　4.个性美白：美国Beyond蓝光美白独有的单颗牙齿美白功能，可针对问题牙齿进行单独美白，而不必影响其他牙齿色泽，极大的满足了个性化的需求。</p>,,,2017/6/3 10:39
18,牙齿发黄的原因,随着人们对美的追求，越来越多人开始注意牙齿问题，想要微笑时露出的牙齿是洁白整齐的。但现实中很多人的牙齿都呈现出发黄的状态，严重影响了日常生活，不利于自信心的塑造。到底牙齿发黄是什么原因呢?口腔医院专家介绍，造成牙齿发黄的因素一般由以下几点。1、健康因素：牙齿在发育过程,<p> 　　随着人们对美的追求，越来越多人开始注意牙齿问题，想要微笑时露出的牙齿是洁白整齐的。但现实中很多人的牙齿都呈现出发黄的状态，严重影响了日常生活，不利于自信心的塑造。到底牙齿发黄是什么原因呢?<br /><br /> 　　口腔医院专家介绍，造成牙齿发黄的因素一般由以下几点。<br /><br /> 　　1、健康因素：牙齿在发育过程中由于营养不好，使牙齿的钙化受到影响，牙齿会变黄松脆。<br /><br /> 　　2、水质因素：有些地方水中含氟量高，引用过多会导致牙齿变黄。<br /><br /> 　　3、药物因素：许多四环素类药物会导致牙齿发黄。<br /><br /> 　　4、卫生习惯：有些人不注重口腔卫生，没有养成良好的刷牙习惯，牙齿的表面堆积了一层食物残渣，导致黄牙产生。<br /><br /> 　　那么当黄牙产生后，应该怎么治疗呢？<br /><br /> 　　1、轻度外源性牙齿发黄发黑：超声波洁牙<br /><br /> 　　对于轻度外源性牙齿发黄发黑，采用超声波无痛洁牙是可以起到一定的美白效果的。但需要提醒的是，洗牙可以去除牙齿表面的色度、牙菌斑和牙结石，但是它不能彻底改变比较严重的色素对牙齿造成的深层影响。洗牙的目的主要是清洁，可以清除牙齿表面的咖啡渍、茶渍和烟渍以及日积月累的牙结石，所以看起来会更洁白。<br /><br /> 　　2、中度牙齿发黄发黑：冷光美白<br /><br /> 　　对于中度的外源性牙齿发黄发黑，可以采用冷光美白，它的原理在于通过冷光将药物渗透到牙齿组织中去，从而达到美白的效果。不过属于化学漂白的一种，对于牙齿釉质有一定伤害，可能出现冷热过敏的现象。但是具有快速，安全，持续时间长，效果显着等优点。美白的操作时间不用很长，仅需30分钟。低温冷光，完全避免了操作过程中对牙神经的刺激等诸多优点。<br /><br /> 　　3、严重内源性发黄发黑：光固化美容贴面<br /><br /> 　　光固化覆盖是利用光敏固化技术在牙齿表面覆盖瓷化树脂，其最大的优点是方便、快捷、迅速。可以快速改善患者的前牙美观。对于前牙氟斑牙、轻度四环素牙、牙齿发黄发黑、过小牙、牙间隙、外伤牙部分缺损等情况。光固化美容贴面是牙齿贴面修复的一种方式，就是把牙齿表面磨去一层，然后再用树脂贴面在患者口内制作，直接或间接粘结覆盖，遮住牙齿本身的颜色。其最大的优点是方便、快捷、迅速。树脂贴面可以快速改善患者的前牙美观。安全无痛苦，可选色，可修补，可重做，一次完成。</p>,<p> 　　随着人们对美的追求，越来越多人开始注意牙齿问题，想要微笑时露出的牙齿是洁白整齐的。但现实中很多人的牙齿都呈现出发黄的状态，严重影响了日常生活，不利于自信心的塑造。到底牙齿发黄是什么原因呢?<br /><br /> 　　口腔医院专家介绍，造成牙齿发黄的因素一般由以下几点。<br /><br /> 　　1、健康因素：牙齿在发育过程中由于营养不好，使牙齿的钙化受到影响，牙齿会变黄松脆。<br /><br /> 　　2、水质因素：有些地方水中含氟量高，引用过多会导致牙齿变黄。<br /><br /> 　　3、药物因素：许多四环素类药物会导致牙齿发黄。<br /><br /> 　　4、卫生习惯：有些人不注重口腔卫生，没有养成良好的刷牙习惯，牙齿的表面堆积了一层食物残渣，导致黄牙产生。<br /><br /> 　　那么当黄牙产生后，应该怎么治疗呢？<br /><br /> 　　1、轻度外源性牙齿发黄发黑：超声波洁牙<br /><br /> 　　对于轻度外源性牙齿发黄发黑，采用超声波无痛洁牙是可以起到一定的美白效果的。但需要提醒的是，洗牙可以去除牙齿表面的色度、牙菌斑和牙结石，但是它不能彻底改变比较严重的色素对牙齿造成的深层影响。洗牙的目的主要是清洁，可以清除牙齿表面的咖啡渍、茶渍和烟渍以及日积月累的牙结石，所以看起来会更洁白。<br /><br /> 　　2、中度牙齿发黄发黑：冷光美白<br /><br /> 　　对于中度的外源性牙齿发黄发黑，可以采用冷光美白，它的原理在于通过冷光将药物渗透到牙齿组织中去，从而达到美白的效果。不过属于化学漂白的一种，对于牙齿釉质有一定伤害，可能出现冷热过敏的现象。但是具有快速，安全，持续时间长，效果显着等优点。美白的操作时间不用很长，仅需30分钟。低温冷光，完全避免了操作过程中对牙神经的刺激等诸多优点。<br /><br /> 　　3、严重内源性发黄发黑：光固化美容贴面<br /><br /> 　　光固化覆盖是利用光敏固化技术在牙齿表面覆盖瓷化树脂，其最大的优点是方便、快捷、迅速。可以快速改善患者的前牙美观。对于前牙氟斑牙、轻度四环素牙、牙齿发黄发黑、过小牙、牙间隙、外伤牙部分缺损等情况。光固化美容贴面是牙齿贴面修复的一种方式，就是把牙齿表面磨去一层，然后再用树脂贴面在患者口内制作，直接或间接粘结覆盖，遮住牙齿本身的颜色。其最大的优点是方便、快捷、迅速。树脂贴面可以快速改善患者的前牙美观。安全无痛苦，可选色，可修补，可重做，一次完成。</p>,,,2017/6/4 10:39
19,怎样美白黄牙,"相信很多人有注意到，很多人的牙齿都是属于偏黄性的，那么面对难看的黄牙该怎么变白回来呢？我们来看一下口腔专家的讲解，希望可以给大家带来有利帮助。口腔专家介绍说，可以去药店买一些合适药物或者通过一些小窍门, 如用等量的食盐和苏打，加水少许混合搅拌成牙膏状用来刷牙，每个星期1-2次","<p> 　　相信很多人有注意到，很多人的牙齿都是属于偏黄性的，那么面对难看的黄牙该怎么变白回来呢？我们来看一下口腔专家的讲解，希望可以给大家带来有利帮助。<br /><br /> 　　口腔专家介绍说，可以去药店买一些合适药物或者通过一些小窍门, 如用等量的食盐和苏打，加水少许混合搅拌成牙膏状用来刷牙，每个星期1-2次，即可。除此之外，还需要注意个人卫生习惯,坚持正确的刷牙方法，能刷除牙菌斑，同时还可对牙龈进行按摩。最好用亮白形牙膏,饭后也可刷牙,也可以买牙贴等美牙用品。下面几种小窍门也可以帮你洁白牙齿：<br /><br /> 　　1.避免喝过多咖啡,茶等有色饮料,少吃巧克力。<br /><br /> 　　2.用柠檬汁洁白牙齿,每晚在刷牙后，用纱布沾些柠檬汁，摩擦牙齿，牙齿就会变得洁白光亮。 柠檬的洗净力强，又有洁白作用，且含有维他命C，能强固齿根。<br /><br /> 　　3.你可以试着使用牙粉很有效，就早起、睡前各刷一次。约五至十天就有成效出现了。很有效。<br /><br /> 　　4.用杏仁泡水去皮去尖捣烂加煅过的细盐早晚刷牙。东方人牙齿原本就有点黄，只要不是太严重，并不一定要美白。<br /><br /> 　　5、使牙齿变白的10种食物：芹菜、芭乐、香蕉、乳酪、无糖口香糖、薄荷、水、绿茶、洋葱、芥末等等。</p>","<p> 　　相信很多人有注意到，很多人的牙齿都是属于偏黄性的，那么面对难看的黄牙该怎么变白回来呢？我们来看一下口腔专家的讲解，希望可以给大家带来有利帮助。<br /><br /> 　　口腔专家介绍说，可以去药店买一些合适药物或者通过一些小窍门, 如用等量的食盐和苏打，加水少许混合搅拌成牙膏状用来刷牙，每个星期1-2次，即可。除此之外，还需要注意个人卫生习惯,坚持正确的刷牙方法，能刷除牙菌斑，同时还可对牙龈进行按摩。最好用亮白形牙膏,饭后也可刷牙,也可以买牙贴等美牙用品。下面几种小窍门也可以帮你洁白牙齿：<br /><br /> 　　1.避免喝过多咖啡,茶等有色饮料,少吃巧克力。<br /><br /> 　　2.用柠檬汁洁白牙齿,每晚在刷牙后，用纱布沾些柠檬汁，摩擦牙齿，牙齿就会变得洁白光亮。 柠檬的洗净力强，又有洁白作用，且含有维他命C，能强固齿根。<br /><br /> 　　3.你可以试着使用牙粉很有效，就早起、睡前各刷一次。约五至十天就有成效出现了。很有效。<br /><br /> 　　4.用杏仁泡水去皮去尖捣烂加煅过的细盐早晚刷牙。东方人牙齿原本就有点黄，只要不是太严重，并不一定要美白。<br /><br /> 　　5、使牙齿变白的10种食物：芹菜、芭乐、香蕉、乳酪、无糖口香糖、薄荷、水、绿茶、洋葱、芥末等等。</p>",,,2017/6/5 10:39
20,如何让黄牙变白,小希在公司一直是个活泼开朗特别外向的女生，平时非常喜欢讲笑话给大家听，她一到哪那里就充满笑声。但是至近却很少再见到她笑了，原来有人说她，笑起来一口黄牙实在非常难看。为了让牙齿美白，小希想了很多很多办法，但是效果都不佳。那么怎样才能让黄牙变白呢？口腔医院的专家介绍说，牙齿着色,<p> 　　小希在公司一直是个活泼开朗特别外向的女生，平时非常喜欢讲笑话给大家听，她一到哪那里就充满笑声。但是至近却很少再见到她笑了，原来有人说她，笑起来一口黄牙实在非常难看。为了让牙齿美白，小希想了很多很多办法，但是效果都不佳。那么怎样才能让黄牙变白呢？<br /><br /> 　　口腔医院的专家介绍说，牙齿着色、发黄大体上可以分为两个方面，即内源性和外源性。<br /><br /> 　　内源性着色是在牙齿发育过程中形成的，如四环素沉积在牙本质内，就会使得牙齿变成黄色、棕色或暗灰色，称为四环素牙；如果饮用水中含氟过多，也可能导致氟斑牙，牙面呈白粉笔色、棕褐色斑块，如果牙神经坏死与细菌分解产物结合也可使牙齿变黑。<br /><br /> 　　外源性着色是由于牙齿表面存在着多种细菌，它们分泌许多黏性物质，日常饮食中的茶垢、烟渍以及饮用水中的某些矿物质吸附在这些黏性物质上，逐渐使牙齿变黄或变黑。</p>,<p> 　　小希在公司一直是个活泼开朗特别外向的女生，平时非常喜欢讲笑话给大家听，她一到哪那里就充满笑声。但是至近却很少再见到她笑了，原来有人说她，笑起来一口黄牙实在非常难看。为了让牙齿美白，小希想了很多很多办法，但是效果都不佳。那么怎样才能让黄牙变白呢？<br /><br /> 　　口腔医院的专家介绍说，牙齿着色、发黄大体上可以分为两个方面，即内源性和外源性。<br /><br /> 　　内源性着色是在牙齿发育过程中形成的，如四环素沉积在牙本质内，就会使得牙齿变成黄色、棕色或暗灰色，称为四环素牙；如果饮用水中含氟过多，也可能导致氟斑牙，牙面呈白粉笔色、棕褐色斑块，如果牙神经坏死与细菌分解产物结合也可使牙齿变黑。<br /><br /> 　　外源性着色是由于牙齿表面存在着多种细菌，它们分泌许多黏性物质，日常饮食中的茶垢、烟渍以及饮用水中的某些矿物质吸附在这些黏性物质上，逐渐使牙齿变黄或变黑。</p>,,,2017/6/6 10:39
